annee;TNTXM
1855;9.836758832565284
1856;11.22808861698183
1858;11.399195468509985
1859;12.820273006563328
1871;
1872;11.110151711778519
1873;10.798915130568355
1874;10.61906856584276
1875;10.849497567844343
1876;11.572198065190278
1877;
1878;
1879;
1880;
1881;
1882;11.608797363031234
1883;10.482171658986175
1884;11.305116178469904
1885;10.720801331285202
1886;11.454185867895545
1887;10.500658182813355
1888;11.02920065504882
1889;11.143880717944493
1890;
1891;11.474761463184572
1892;11.561474014336918
1893;13.614216435369107
1894;13.493741097054734
1895;11.325732846902202
1896;11.554338020006401
1897;12.179665525260283
1898;12.180392324694989
1899;12.312729348011608
1900;11.79712776284349
1901;11.1674075827443
1902;11.014951522230756
1903;11.066986607142857
1904;11.233559639311167
1905;10.855136595408773
1906;11.273643753200204
1907;11.35726574500768
1908;11.571431137611615
1909;10.653226972503251
1910;10.942999426905851
1911;11.820277490862864
1912;11.429326257570139
1913;11.754164710985947
1914;11.572850290004768
1915;11.647469918074757
1916;11.824329501915708
1917;10.941686934630482
1918;11.524390681003583
1919;11.302851382488479
1920;11.951018261030775
1921;12.657755381423776
1922;11.332197402856005
1923;11.696023166435033
1924;11.28110039778178
1925;11.26668990243947
1926;12.004479543833662
1927;11.389040978622631
1928;12.182669929036377
1929;11.294479086661546
1930;11.870690524193549
1931;11.42390368983615
1932;11.4285858361142
1933;11.558665631933778
1934;11.690479492020822
1935;11.44698703650367
1936;11.512063733366292
1937;11.947168565454856
1938;10.896663481543278
1939;9.813018113159242
1940;7.985285131627734
1941;
1942;13.700431673052364
1943;12.440081986887842
1944;9.578732426623555
1945;11.773954493087558
1946;10.930779356545486
1947;12.160628722904931
1948;11.644128989772586
1949;12.503030375277351
