Code BV;Inscrits;Votants;Abstentions;Exprimés;Christelle Ritz;Lara Million;Michèle Lutz;Annouar Sassi;Frédéric Marquet;Loïc Minery;vainqueur
1;559;238;321;237;21;38;44;20;36;38;LR
2;762;380;382;375;46;54;61;29;72;65;DVC
3;758;405;353;398;38;34;81;16;102;85;DVC
4;859;457;402;454;38;53;93;17;93;104;UG
5;547;291;256;289;19;53;67;10;66;49;LR
6;606;351;255;348;17;71;78;7;73;74;LR
7;583;356;227;351;27;57;98;0;84;52;LR
8;829;492;337;483;67;89;93;11;103;83;DVC
9;1050;540;510;533;58;43;83;49;76;154;UG
10;948;550;398;546;43;82;115;15;113;125;UG
11;805;314;491;308;44;30;37;64;43;57;DIV
12;815;369;446;362;55;54;63;34;62;60;LR
13;927;469;458;457;55;63;71;28;73;114;UG
14;934;405;529;392;77;53;70;53;39;57;RN
15;1038;456;582;446;73;67;90;47;67;50;LR
16;815;316;499;311;59;51;40;56;30;48;RN
17;926;299;627;288;62;37;59;33;16;24;RN
18;644;276;368;267;37;32;50;62;17;35;DIV
19;985;362;623;356;45;28;62;76;43;60;DIV
20;828;242;586;235;32;17;30;74;18;38;DIV
21;796;271;525;260;36;23;39;54;36;24;DIV
22;911;360;551;353;58;58;43;59;50;51;DIV
23;803;278;525;271;35;23;42;94;26;21;DIV
24;494;160;334;157;16;25;25;52;15;9;DIV
25;1018;332;686;326;24;30;45;112;34;31;DIV
26;533;195;338;187;38;18;48;21;15;21;LR
27;959;297;662;289;53;19;40;97;27;18;DIV
28;719;323;396;310;63;29;54;39;41;45;RN
29;947;390;557;381;76;51;83;54;25;58;LR
30;928;319;609;309;46;29;47;93;16;27;DIV
31;1065;453;612;442;88;64;71;98;34;36;DIV
32;621;211;410;203;27;17;29;56;12;23;DIV
33;741;277;464;270;66;30;31;56;15;42;RN
34;878;291;587;282;27;25;49;65;33;50;DIV
35;1010;384;626;372;42;37;74;51;48;69;LR
36;950;372;578;359;35;61;50;47;41;81;UG
37;822;365;457;356;45;59;66;45;40;75;UG
38;809;225;584;218;25;21;37;45;18;34;DIV
39;819;221;598;220;23;20;30;75;12;28;DIV
40;830;326;504;317;65;44;33;49;39;38;RN
41;911;348;563;336;60;37;62;78;25;54;DIV
42;783;244;539;233;37;23;43;59;11;30;DIV
43;770;273;497;259;48;30;44;66;20;25;DIV
44;923;425;498;417;78;64;81;54;54;58;LR
45;889;512;377;505;70;125;97;33;72;78;Ensemble
46;946;582;364;574;59;106;181;8;132;45;LR
47;855;498;357;492;48;67;129;8;127;70;LR
48;879;433;446;424;58;60;79;30;90;77;DVC
49;949;562;387;550;90;81;89;38;93;102;UG
50;986;553;433;541;78;80;86;37;85;129;UG
51;993;517;476;506;100;98;60;39;70;81;RN
52;976;500;476;492;84;59;74;58;71;93;UG
53;729;230;499;226;34;23;42;75;14;15;DIV
54;771;224;547;217;14;27;25;85;16;31;DIV
55;667;162;505;156;20;9;7;62;15;11;DIV
56;923;269;654;260;28;28;32;92;14;21;DIV
57;554;261;293;258;15;21;32;18;70;72;UG
58;854;254;600;246;33;8;18;92;23;17;DIV
59;880;443;437;437;29;45;85;35;106;96;DVC
60;821;452;369;445;63;88;91;29;68;73;LR
